"year","week","day","N","Users","AnyOutdoor","num.male","num.female","age.median","age.IQR","Rec","Peri","Other_outdoor","Unknown_risk","median.temp","num.rainy","rural","med.small.metro","large.metro","median.SH.index","median.cases","Garden","Mow_lawn","PicnicYard","YardPlay","Brush_clear","Job","ParkPlay","PicnicPark","Camp","Hike","Bike","Hike_Walk","month","percent.rural","percent.med.small.metro","percent.large.metro","percent.female","percent.rainy"
"2019",14,2019-04-02,1,1,1,0,1,47,0,0,0,0,1,4.454507475,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA,NA,NA,NA,NA
"2019",14,2019-04-03,1,1,1,1,0,46,0,1,0,0,0,3.925184496,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA,NA,NA,NA,NA
"2019",14,2019-04-08,2,2,2,0,2,56,6,1,1,0,1,11.6767792875,0,1,1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,"4",NA,NA,NA,NA,NA
"2019",15,2019-04-09,4,4,4,2,2,39.5,18.25,3,1,0,0,8.934489232,0,1,1,2,NA,NA,1,0,0,0,0,0,0,0,0,2,0,2,"4",NA,NA,NA,NA,NA
"2019",15,2019-04-10,2,2,0,2,0,45.5,12.5,0,0,0,0,5.3396371365,1,0,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA,NA,NA,NA,NA
"2019",15,2019-04-11,2,2,1,1,1,53,5,1,1,0,1,5.8661318515,1,0,2,0,NA,NA,0,0,0,0,0,0,0,0,0,1,0,1,"4",NA,NA,NA,NA,NA
"2019",15,2019-04-12,1,1,1,0,1,40,0,0,1,0,0,12.60504204,1,0,0,1,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,"4",NA,NA,NA,NA,NA
"2019",15,2019-04-13,2,2,2,0,2,41,9,1,1,0,1,15.472209065,0,2,0,0,NA,NA,0,0,0,0,1,0,0,0,0,1,0,1,"4",NA,NA,NA,NA,NA
"2019",15,2019-04-14,5,5,4,3,2,48,19,1,2,0,1,12.67550149,5,1,3,1,NA,NA,2,0,0,0,0,0,0,0,0,1,0,1,"4",0.2,0.6,0.2,0.4,1
"2019",15,2019-04-15,3,3,2,2,1,58,20,0,1,0,1,5.747437741,1,1,2,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,"4",NA,NA,NA,NA,NA
"2019",16,2019-04-16,3,3,3,2,1,58,20,1,1,1,0,11.43200884,0,1,2,0,NA,NA,0,0,0,0,0,0,0,0,0,1,0,1,"4",NA,NA,NA,NA,NA
"2019",16,2019-04-17,5,5,3,3,2,65,8,2,1,0,1,11.73214849,0,1,4,0,NA,NA,1,0,0,0,0,0,0,0,0,2,0,2,"4",0.2,0.8,0,0.4,0
"2019",16,2019-04-18,7,7,7,5,2,58,20.5,2,4,0,0,11.93948701,1,1,5,1,NA,NA,2,1,0,0,0,0,0,0,0,2,0,2,"4",0.142857142857143,0.714285714285714,0.142857142857143,0.285714285714286,0.142857142857143
"2019",16,2019-04-19,10,10,7,5,5,57.5,11,4,3,0,0,16.840446705,7,1,6,3,NA,NA,3,1,0,0,0,0,0,0,0,2,0,2,"4",0.1,0.6,0.3,0.5,0.7
"2019",16,2019-04-20,12,12,8,7,5,56.5,16.25,3,5,0,3,14.354561515,6,2,8,2,NA,NA,3,1,0,0,1,0,0,0,0,3,0,3,"4",0.166666666666667,0.666666666666667,0.166666666666667,0.416666666666667,0.5
"2019",16,2019-04-21,16,16,10,7,9,52.5,26.75,5,4,0,2,12.11917873,2,4,10,2,NA,NA,4,0,0,0,2,0,0,0,0,4,0,4,"4",0.25,0.625,0.125,0.5625,0.125
"2019",16,2019-04-22,18,18,14,10,8,52.5,26.75,6,10,0,3,13.9110967,4,4,10,4,NA,NA,8,1,0,1,1,0,0,0,0,4,0,4,"4",0.222222222222222,0.555555555555556,0.222222222222222,0.444444444444444,0.222222222222222
"2019",17,2019-04-23,16,16,13,8,8,52.5,26.75,5,6,0,6,16.80711911,2,1,11,4,NA,NA,3,0,0,2,1,0,1,0,0,3,0,3,"4",0.0625,0.6875,0.25,0.5,0.125
"2019",17,2019-04-24,17,17,15,9,8,48,20,6,10,0,1,13.17027557,0,3,9,5,NA,NA,7,1,0,1,0,1,0,0,0,5,0,5,"4",0.176470588235294,0.529411764705882,0.294117647058824,0.470588235294118,0
"2019",17,2019-04-25,18,18,10,8,10,52,24.25,5,5,0,3,13.252734155,15,3,10,5,NA,NA,3,0,0,0,1,0,0,0,0,4,0,4,"4",0.166666666666667,0.555555555555556,0.277777777777778,0.555555555555556,0.833333333333333
"2019",17,2019-04-26,17,16,10,10,7,52,33,5,4,0,2,10.43105076,14,5,8,4,NA,NA,2,0,0,1,0,0,0,0,0,3,1,3,"4",0.294117647058824,0.470588235294118,0.235294117647059,0.411764705882353,0.823529411764706
"2019",17,2019-04-27,9,9,7,6,3,57,18,4,4,0,0,7.456262945,2,1,7,1,NA,NA,1,2,0,0,1,0,0,0,0,1,0,1,"4",0.111111111111111,0.777777777777778,0.111111111111111,0.333333333333333,0.222222222222222
"2019",17,2019-04-28,15,15,10,7,8,52,24,5,6,0,2,5.928780811,7,2,12,1,NA,NA,5,0,0,0,0,0,0,0,0,5,0,5,"4",0.133333333333333,0.8,0.0666666666666667,0.533333333333333,0.466666666666667
"2019",17,2019-04-29,16,16,12,9,7,44,28.75,4,7,1,3,9.4616911345,7,2,13,1,NA,NA,5,0,0,1,1,0,0,0,0,3,0,3,"4",0.125,0.8125,0.0625,0.4375,0.4375
"2019",18,2019-04-30,18,18,12,9,9,51,30.25,5,5,0,3,12.69291667,6,3,12,3,NA,NA,1,2,0,0,2,0,0,0,0,5,0,5,"4",0.166666666666667,0.666666666666667,0.166666666666667,0.5,0.333333333333333
"2019",18,2019-05-01,16,16,10,8,8,39.5,19.75,4,4,0,2,9.777490141,3,2,11,3,NA,NA,3,1,0,0,0,0,0,0,0,3,0,3,"5",0.125,0.6875,0.1875,0.5,0.1875
"2019",18,2019-05-02,20,20,12,9,11,39.5,24.5,6,5,1,2,12.25509041,4,4,14,2,NA,NA,3,1,0,0,1,0,0,0,0,5,1,5,"5",0.2,0.7,0.1,0.55,0.2
"2019",18,2019-05-03,21,21,14,11,10,57,27,6,8,1,2,11.07030959,9,5,14,2,NA,NA,5,2,0,0,0,0,1,0,0,3,0,3,"5",0.238095238095238,0.666666666666667,0.0952380952380952,0.476190476190476,0.428571428571429
"2019",18,2019-05-04,30,30,29,12,18,52.5,19.75,20,13,1,3,13.24234355,9,7,19,4,NA,NA,6,6,3,1,1,0,2,2,1,17,1,17,"5",0.233333333333333,0.633333333333333,0.133333333333333,0.6,0.3
"2019",18,2019-05-05,26,26,21,11,15,53.5,25.75,13,8,0,2,14.4812274,22,8,14,4,NA,NA,2,3,2,0,2,0,1,1,1,11,1,11,"5",0.307692307692308,0.538461538461538,0.153846153846154,0.576923076923077,0.846153846153846
