"year","week","day","N","Users","AnyOutdoor","num.male","num.female","age.median","age.IQR","Rec","Peri","Other_outdoor","Unknown_risk","median.temp","num.rainy","rural","med.small.metro","large.metro","median.SH.index","median.cases","Garden","Mow_lawn","PicnicYard","YardPlay","Brush_clear","Job","ParkPlay","PicnicPark","Camp","Hike","Bike","Hike_Walk","month","percent.rural","percent.med.small.metro","percent.large.metro","percent.female","percent.rainy"
"2019",14,2019-04-08,1,1,1,0,1,50,0,1,1,0,0,9.460019315,0,0,1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,"4",NA,NA,NA,NA,NA
"2019",15,2019-04-09,1,1,1,0,1,59,0,1,0,0,0,8.638320669,0,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,1,0,1,"4",NA,NA,NA,NA,NA
"2019",15,2019-04-10,1,1,0,1,0,58,0,0,0,0,0,4.45763779,1,0,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA,NA,NA,NA,NA
"2019",15,2019-04-11,1,1,0,1,0,58,0,1,0,0,0,7.23263034,1,0,1,0,NA,NA,0,0,0,0,0,0,0,0,0,1,0,1,"4",NA,NA,NA,NA,NA
"2019",15,2019-04-13,1,1,1,0,1,32,0,0,1,0,0,16.09140474,0,1,0,0,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,"4",NA,NA,NA,NA,NA
"2019",15,2019-04-14,3,3,2,2,1,39,13,1,1,0,0,12.67550149,3,1,1,1,NA,NA,1,0,0,0,0,0,0,0,0,1,0,1,"4",NA,NA,NA,NA,NA
"2019",15,2019-04-15,2,2,1,1,1,45,13,0,0,0,1,5.2776290015,0,1,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA,NA,NA,NA,NA
"2019",16,2019-04-16,2,2,2,1,1,45,13,0,1,1,0,12.897281675,0,1,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"4",NA,NA,NA,NA,NA
"2019",16,2019-04-17,3,3,1,2,1,58,16.5,1,0,0,1,13.92623615,0,1,2,0,NA,NA,0,0,0,0,0,0,0,0,0,1,0,1,"4",NA,NA,NA,NA,NA
"2019",16,2019-04-18,4,4,4,3,1,57.5,9,2,2,0,0,13.35948963,1,1,3,0,NA,NA,1,0,0,0,0,0,0,0,0,2,0,2,"4",NA,NA,NA,NA,NA
"2019",16,2019-04-19,4,4,3,2,2,57.5,10,1,2,0,0,11.994622073,2,1,2,1,NA,NA,2,1,0,0,0,0,0,0,0,1,0,1,"4",NA,NA,NA,NA,NA
"2019",16,2019-04-20,7,7,6,4,3,57,18,2,5,0,1,14.09005579,3,2,4,1,NA,NA,3,1,0,0,1,0,0,0,0,2,0,2,"4",0.285714285714286,0.571428571428571,0.142857142857143,0.428571428571429,0.428571428571429
"2019",16,2019-04-21,8,8,4,5,3,53.5,24,2,2,0,2,10.727511084,1,2,5,1,NA,NA,2,0,0,0,1,0,0,0,0,1,0,1,"4",0.25,0.625,0.125,0.375,0.125
"2019",16,2019-04-22,8,8,6,5,3,44.5,24,4,5,0,0,13.22326872,1,2,4,2,NA,NA,3,0,0,1,0,0,0,0,0,2,0,2,"4",0.25,0.5,0.25,0.375,0.125
"2019",17,2019-04-23,5,5,4,3,2,58,33,1,3,0,0,15.87225324,1,1,3,1,NA,NA,2,0,0,1,0,0,0,0,0,0,0,0,"4",0.2,0.6,0.2,0.4,0.2
"2019",17,2019-04-24,8,8,8,5,3,38,24,3,6,0,1,12.820170715,0,3,3,2,NA,NA,3,0,0,1,0,1,0,0,0,2,0,2,"4",0.375,0.375,0.25,0.375,0
"2019",17,2019-04-25,6,6,2,3,3,60.5,22.25,1,1,0,0,13.291647275,5,2,3,1,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,"4",0.333333333333333,0.5,0.166666666666667,0.5,0.833333333333333
"2019",17,2019-04-26,9,8,5,5,4,37,31,2,3,0,0,10.20387849,7,4,4,1,NA,NA,1,0,0,1,0,0,0,0,0,1,0,1,"4",0.444444444444444,0.444444444444444,0.111111111111111,0.444444444444444,0.777777777777778
"2019",17,2019-04-27,3,3,2,2,1,58,20.5,1,1,0,0,3.339359255,2,0,2,1,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,"4",NA,NA,NA,NA,NA
"2019",17,2019-04-28,7,7,5,4,3,38,27,1,3,0,2,6.18206079,3,2,4,1,NA,NA,2,0,0,0,0,0,0,0,0,1,0,1,"4",0.285714285714286,0.571428571428571,0.142857142857143,0.428571428571429,0.428571428571429
"2019",17,2019-04-29,6,6,4,4,2,37.5,5.5,0,3,0,1,8.5210202595,2,2,4,0,NA,NA,2,0,0,1,0,0,0,0,0,0,0,0,"4",0.333333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333
"2019",18,2019-04-30,6,6,4,4,2,37.5,25,1,2,0,0,14.144683705,3,2,3,1,NA,NA,0,1,0,0,1,0,0,0,0,1,0,1,"4",0.333333333333333,0.5,0.166666666666667,0.333333333333333,0.5
"2019",18,2019-05-01,6,6,2,3,3,44,27.75,1,0,0,1,12.340047905,0,1,4,1,NA,NA,0,0,0,0,0,0,0,0,0,1,0,1,"5",0.166666666666667,0.666666666666667,0.166666666666667,0.5,0
"2019",18,2019-05-02,7,7,3,3,4,50,32,2,1,0,1,14.70993168,1,2,4,1,NA,NA,0,0,0,0,1,0,0,0,0,1,1,1,"5",0.285714285714286,0.571428571428571,0.142857142857143,0.571428571428571,0.142857142857143
"2019",18,2019-05-03,10,10,7,6,4,57.5,24.25,3,6,0,0,14.41470628,4,4,5,1,NA,NA,3,2,0,0,0,0,0,0,0,2,0,2,"5",0.4,0.5,0.1,0.4,0.4
"2019",18,2019-05-04,12,12,11,6,6,56.5,16.5,5,7,1,2,13.668677735,4,4,7,1,NA,NA,4,1,2,0,0,0,0,0,1,5,0,5,"5",0.333333333333333,0.583333333333333,0.0833333333333333,0.5,0.333333333333333
"2019",18,2019-05-05,10,10,9,5,5,59.5,28.75,7,4,0,0,14.18077107,7,5,4,1,NA,NA,1,2,0,0,1,0,0,0,1,5,1,5,"5",0.5,0.4,0.1,0.5,0.7
"2019",18,2019-05-06,14,14,13,9,5,60,23,8,7,1,2,15.006331035,3,5,6,3,NA,NA,2,2,1,0,1,0,0,0,0,5,0,5,"5",0.357142857142857,0.428571428571429,0.214285714285714,0.357142857142857,0.214285714285714
"2019",19,2019-05-07,12,12,9,7,5,60,14.5,3,5,1,1,15.16318645,2,3,5,4,NA,NA,3,1,0,0,1,0,0,0,0,2,0,2,"5",0.25,0.416666666666667,0.333333333333333,0.416666666666667,0.166666666666667
